,list
0,"Live coding a vi for CP/M, from scratch"
1,SKS Keyserver Network Under Attack
2,Interns’ Job Prospects Constrained by Noncompete Agreements
3,Show HN: Medical Image (Dicom) Parser in Go
4,High Pressure Processing of Food
5,How Disney built and programmed an animatronic president (2014)
6,The side of Paul Allen I wish more people knew about
7,NetBSD on the last G4 Mac mini and making the kernel power failure proof
8,Riichi Mahjong Strategy Books
9,Show HN: A music delivery service built around the WebAudio API
10,Demystifying Databases: Correctness Anomalies Under Serializable Isolation
11,Let's Build a Simple Interpreter. Part 14: Nested Scopes (2017)
12,TeXmacs 1.99.1
13,Schools are using unproven surveillance technology to monitor students
14,"What Is the Human Microbiome, Exactly?"
15,Friends Like These: On Thoreau and Emerson
16,Berlin Brandenburg: The airport with half a million faults
17,Atari Centipede’s Hidden Code Trap
18,Reset C by GE Light Bulbs [video]
19,America’s Monopoly Crisis Hits the Military
20,Former Equifax CIO sentenced for insider trading
21,Toshiba and WD NAND Production Hit by Power Outage: 6 Exabytes Lost
22,Fuchsia Developers Website
23,Researchers model how octopus arms make decisions
24,Digital Video Game Firsts – Michigan Pool (1954)
25,The Evolution of Lisp (1993) [pdf]
26,Open Letter from the OpenID Foundation to Apple Regarding Sign in with Apple
27,Sneaky deals are keeping cheaper generic medicines off the market
28,"Jami – FOSS, Distributed Instant Messenger"
29,Europe has had five 500-year summers in 15 years
